CEO,address,address2,city,companyName,country,description,employees,exchange,industry,issueType,phone,primarySicCode,sector,securityName,state,symbol,tags,website,zip
,,,,BlackRock Institutional Trust Company N.A.,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,BlackRock Institutional Trust Company N.A. - BTC BlackRock Ultra Short,,ICSH,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Vivek Jain,951 Calle Amanecer,,San Clemente,"ICU Medical, Inc.",US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Surgical and Medical Instrument Manufacturing ,cs,19493662183,3841,Manufacturing,"ICU Medical, Inc.",California,ICUI,"['Health Technology', 'Medical Specialties', 'Manufacturing', 'Surgical and Medical Instrument Manufacturing ']",http://www.icumed.com/,92673-6212
,,,,BlackRock Institutional Trust Company N.A.,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,BlackRock Institutional Trust Company N.A. - BTC iShares Convertible B,,ICVT,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,PARTS iD Inc,,,,NYSE MKT LLC,Advertising Agencies,cs,,7311,"Professional, Scientific, and Technical Services",PARTS iD Inc - Class A,,ID,"['Finance', 'Financial Conglomerates']",,
Lisa Grow,1221 W Idaho St,,Boise,"Idacorp, Inc.",US,"IDACORP, Inc., Boise, Idaho-based and formed in 1998, is a holding company comprised of Idaho Power Company, a regulated electric utility; IDACORP Financial, a holder of affordable housing projects and other real estate investments; and Ida-West Energy, an operator of small hydroelectric generation projects that satisfy the requirements of the Public Utility Regulatory Policies Act of 1978. Idaho Power began operations in 1916 and employs approximately 2,000 people to serve a 24,000 square-mile service area in southern Idaho and eastern Oregon. Idaho Power's goal of 100% clean energy by 2045 builds on its long history as a clean-energy leader providing reliable service at affordable prices. With 17 low-cost hydropower projects at the core of its diverse energy mix, Idaho Power's more than 570,000 residential, business, and agricultural customers pay among the nation's lowest prices for electricity.",2021,"NEW YORK STOCK EXCHANGE, INC.",Nuclear Electric Power Generation ,cs,12083882200,4911,Utilities,"Idacorp, Inc.",Idaho,IDA,"['Utilities', 'Electric Utilities', 'Nuclear Electric Power Generation ']",https://www.idacorpinc.com/,83702-5627
Stanley Swearingen,Dronning Eufemias gate 16,,Fornebu,IDEX Biometrics ASA,Norway,,,NASDAQ CAPITAL MARKET,Bare Printed Circuit Board Manufacturing  ,ad,4767839119,,Manufacturing,IDEX Biometrics ASA - ADR,Akershus,IDBA,[],https://www.idexbiometrics.com/,0191
,200 Bellevue Parkway,Suite 300,Wilmington,Interdigital Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),cs,13022813600,6794,Real Estate and Rental and Leasing,Interdigital Inc,Delaware,IDCC,"['Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)', 'Real Estate and Rental and Leasing', 'Telecommunications Equipment', 'Electronic Technology']",https://www.interdigital.com/,19809-3727
Michael Bell,7337 E Doubletree Ranch Rd Ste 100,,Scottsdale,"Voya Infrastructure, Industrials and Materials Fund",US,,,"NEW YORK STOCK EXCHANGE, INC.",,cs,18009920180,,,"Voya Infrastructure, Industrials and Materials Fund",Arizona,IDE,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,85258-2167
,,,,iShares Trust,,,,NYSE ARCA,,et,,,,iShares Trust - iShares Core MSCI International Developed Markets ETF,,IDEV,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Alfred Poor,55 BROADWAY,19TH FLOOR,New York,Ideanomics Inc,US,"Ideanomics is a global company focused on the convergence of financial services and industries experiencing technological disruption. Our Mobile Energy Global (MEG) division is a service provider which facilitates the adoption of electric vehicles by commercial fleet operators through offering vehicle procurement, finance and leasing, and energy management solutions under our innovative sales to financing to charging (S2F2C) business model. Ideanomics Capital is focused on disruptive fintech solutions for the financial services industry. Together, MEG and Ideanomics Capital provide our global customers and partners with leading technologies and services designed to improve transparency, efficiency, and accountability, and our shareholders with the opportunity to participate in high-potential, growth industries.  The company is headquartered in New York, NY, with offices in Beijing, Hangzhou, and Qingdao, and operations in the U.S., China, Ukraine, and Malaysia.",,NASDAQ CAPITAL MARKET,Satellite Telecommunications,cs,12122061216,4841,Information,Ideanomics Inc,New York,IDEX,"['Technology Services', 'Information Technology Services', 'Information', 'Satellite Telecommunications']",https://ideanomics.com/,10006
,,,,Invesco Capital Management LLC,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,Invesco Capital Management LLC - Invesco S&P International Developed H,,IDHD,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,Invesco Capital Management LLC,,,,NYSE ARCA,,et,,,,Invesco Capital Management LLC - Invesco S&P International Developed Q,,IDHQ,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,Metaurus Equity Component Trust,,,,NYSE ARCA,Commodity Contracts Dealing ,et,,6799,Finance and Insurance,Metaurus Equity Component Trust - U.S. Equity Cumulative Dividends Fun,,IDIV,"['Miscellaneous', 'Investment Trusts/Mutual Funds', 'Finance and Insurance', 'Commodity Contracts Dealing ']",,
,,,,Invesco Capital Management LLC,,,,NASDAQ/NMS (GLOBAL MARKET),,et,,,,Invesco Capital Management LLC - Invesco FTSE International Low Beta E,,IDLB,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,Invesco Capital Management LLC,,,,NYSE ARCA,,et,,,,Invesco Capital Management LLC - Invesco S&P International Developed L,,IDLV,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,Invesco Capital Management LLC,,,,NYSE ARCA,,et,,,,Invesco Capital Management LLC - Invesco S&P International Developed M,,IDMO,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Bryan Lewis,535 Broadhollow Rd Ste B51,,Melville,Intellicheck Inc,US,,,NASDAQ/NMS (GLOBAL MARKET),Electromedical and Electrotherapeutic Apparatus Manufacturing ,cs,15169921900,7372,Manufacturing,Intellicheck Inc,New York,IDN,"['Electronic Technology', 'Electronic Equipment/Instruments', 'Manufacturing', 'Electromedical and Electrotherapeutic Apparatus Manufacturing ']",http://intellicheck.com/,11747-3720
,,,,iShares Trust,,,,NYSE ARCA,,et,,,,iShares Trust - iShares Genomics Immunology and Healthcare ETF,,IDNA,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,ALPS Advisors Inc,,,,NYSE ARCA,,et,,,,ALPS Advisors Inc - ALPS International Sector Dividend Dogs ETF,,IDOG,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Vincent Milano,505 Eagleview Blvd Ste 212,,Exton,"Idera Pharmaceuticals, Inc.",US,,,NASDAQ CAPITAL MARKET,Biological Product (except Diagnostic) Manufacturing ,cs,14843481600,2836,Manufacturing,"Idera Pharmaceuticals, Inc.",Pennsylvania,IDRA,"['Health Technology', 'Biotechnology', 'Manufacturing', 'Biological Product (except Diagnostic) Manufacturing ']",http://www.iderapharma.com/,19341-1199
,,,,iShares Trust,,,,NYSE ARCA,,et,,,,iShares Trust - iShares Self-Driving EV and Tech ETF,,IDRV,"['Investment Trusts/Mutual Funds', 'Miscellaneous']",,
Shmuel Jonas,520 Broad St,,Newark,IDT Corp.,US,,,"NEW YORK STOCK EXCHANGE, INC.",Telecommunications Resellers ,cs,19734381000,4813,Information,IDT Corp. - Class B,New Jersey,IDT,"['Communications', 'Specialty Telecommunications', 'Information', 'Telecommunications Resellers ']",http://www.idt.net/,07102-3121
,,,,BlackRock Institutional Trust Company N.A.,,,,NYSE ARCA,,et,,,,BlackRock Institutional Trust Company N.A. - iShares U.S. Utilities ET,,IDU,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,BlackRock Institutional Trust Company N.A. - BTC iShares International,,IDV,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,VanEck Vectors ETF Trust,,,,NYSE ARCA,,et,,,,VanEck Vectors ETF Trust - VanEck Vectors Indonesia Index ETF,,IDX,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Jonathan Jay Mazelsky,1 Idexx Dr,,Westbrook,"Idexx Laboratories, Inc.",US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Surgical and Medical Instrument Manufacturing ,cs,12075560300,2835,Manufacturing,"Idexx Laboratories, Inc.",Maine,IDXX,"['Health Technology', 'Medical Specialties', 'Manufacturing', 'Surgical and Medical Instrument Manufacturing ']",https://www.idexx.com/,04092-2041
Yujiro Hata,7000 Shoreline Ct Ste 350,,South San Francisco,Ideaya Biosciences Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Research and Development in Biotechnology ,cs,16504436209,2834,"Professional, Scientific, and Technical Services",Ideaya Biosciences Inc,California,IDYA,"['Biotechnology', 'Pharmaceuticals: Major', 'Health Technology']",https://www.ideayabio.com/,94080-7604
,,,,Infrastructure and Energy Alternatives Inc,,"Infrastructure and Energy Alternatives, Inc. is a leading infrastructure construction company with renewable energy and specialty civil expertise. Headquartered in Indianapolis, Indiana, with operations throughout the country, IEA's service offering spans the entire construction process. The Company offers a full spectrum of delivery models including full engineering, procurement, and construction, turnkey, design-build, balance of plant, and subcontracting services. IEA is one of the larger providers in the renewable energy industry and has completed more than 200 utility scale wind and solar projects across North America. In the heavy-civil space, IEA offers a number of specialty services including environmental remediation, industrial maintenance, specialty transportation infrastructure and other site development for public and private projects.",,NASDAQ CAPITAL MARKET,Water and Sewer Line and Related Structures Construction ,cs,,6726,Construction,Infrastructure and Energy Alternatives Inc,,IEA,"['Industrial Services', 'Engineering & Construction', 'Construction', 'Water and Sewer Line and Related Structures Construction ']",,
,,,,Infrastructure and Energy Alternatives Inc,,,,NASDAQ CAPITAL MARKET,Water and Sewer Line and Related Structures Construction ,wt,,6726,Construction,Infrastructure and Energy Alternatives Inc - Warrants (20/05/2021),,IEAWW,"['Industrial Services', 'Engineering & Construction', 'Construction', 'Water and Sewer Line and Related Structures Construction ']",,
Jeffrey Schlarbaum,105 Norton St,,Newark,IEC Electronics Corp.,US,,,NASDAQ/NMS (GLOBAL MARKET),Bare Printed Circuit Board Manufacturing  ,cs,13153317742,3672,Manufacturing,IEC Electronics Corp.,New York,IEC,"['Electronic Technology', 'Electronic Components', 'Manufacturing', 'Bare Printed Circuit Board Manufacturing  ']",https://www.iec-electronics.com/,14513-1218
,,,,BlackRock Institutional Trust Company N.A.,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,BlackRock Institutional Trust Company N.A. - iShares Evolved U.S. Cons,,IECS,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,BlackRock Institutional Trust Company N.A. - iShares Evolved U.S. Disc,,IEDI,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,NASDAQ/NMS (GLOBAL MARKET),,et,,,,BlackRock Institutional Trust Company N.A. - BTC iShares 7-10 Year Tre,,IEF,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,BlackRock Institutional Trust Company N.A. - BTC iShares Core MSCI EAF,,IEFA,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,BlackRock Institutional Trust Company N.A. - iShares Evolved U.S. Fina,,IEFN,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,BlackRock Institutional Trust Company N.A. - iShares Evolved U.S. Heal,,IEHS,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,NASDAQ/NMS (GLOBAL MARKET),,et,,,,BlackRock Institutional Trust Company N.A. - BTC iShares 3-7 Year Trea,,IEI,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,BlackRock Institutional Trust Company N.A. - iShares Evolved U.S. Inno,,IEIH,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,BlackRock Institutional Trust Company N.A. - iShares Evolved U.S. Medi,,IEME,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,NYSE ARCA,,et,,,,BlackRock Institutional Trust Company N.A. - iShares Core MSCI Emergin,,IEMG,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,BlackRock Institutional Trust Company N.A. - BTC iShares U.S. Oil & Ga,,IEO,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Keith Cozza,"16690 Collins Ave,",Ph-1,Sunny Isles Beach,Icahn Enterprises L P,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Offices of Bank Holding Companies ,,13054224000,3714,Management of Companies and Enterprises,Icahn Enterprises L P - Unit,Florida,IEP,"['Producer Manufacturing', 'Industrial Conglomerates', 'Management of Companies and Enterprises', 'Offices of Bank Holding Companies ']",http://www.ielp.com/,33160
Gary Matthews,5433 Westheimer Rd Ste 500,,Houston,IES Holdings Inc,US,,,NASDAQ/NMS (GLOBAL MARKET),Electrical Contractors and Other Wiring Installation Contractors,cs,17138601500,1731,Construction,IES Holdings Inc,Texas,IESC,"['Industrial Services', 'Engineering & Construction', 'Construction', 'Electrical Contractors and Other Wiring Installation Contractors']",http://ies-corporate.com/,77056-5339
,,,,BlackRock Institutional Trust Company N.A.,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,BlackRock Institutional Trust Company N.A. - iShares Evolved U.S. Tech,,IETC,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,NYSE ARCA,,et,,,,BlackRock Institutional Trust Company N.A. - iShares Core MSCI Europe ,,IEUR,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,NASDAQ/NMS (GLOBAL MARKET),,et,,,,BlackRock Institutional Trust Company N.A. - BTC iShares MSCI Europe S,,IEUS,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,NYSE ARCA,,et,,,,BlackRock Institutional Trust Company N.A. - iShares Europe ETF,,IEV,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Andrew Silvernail,1925 W Field Ct,Suite 200,Lake Forest,Idex Corporation,US,,,"NEW YORK STOCK EXCHANGE, INC.",Pump and Pumping Equipment Manufacturing ,cs,18474987070,3561,Manufacturing,Idex Corporation,Illinois,IEX,"['Producer Manufacturing', 'Industrial Machinery']",http://www.idexcorp.com/,60045-4862
,,,,BlackRock Institutional Trust Company N.A.,,,,NYSE ARCA,,et,,,,BlackRock Institutional Trust Company N.A. - iShares U.S. Oil Equipmen,,IEZ,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Andreas Fibig,521 W 57th St,,New York,International Flavors & Fragrances Inc.,US,"IFF uses Uncommon Sense to create what the world needs. As a collective of unconventional thinkers and creators, the Company puts science and artistry to work to create unique and unexpected scents, tastes, experiences and ingredients for the products its world craves.",13600,"NEW YORK STOCK EXCHANGE, INC.",All Other Basic Organic Chemical Manufacturing ,cs,12127655500,2869,Manufacturing,International Flavors & Fragrances Inc.,New York,IFF,"['Consumer Non-Durables', 'Household/Personal Care', 'Manufacturing', 'All Other Basic Organic Chemical Manufacturing ']",https://www.iff.com/,10019-2929
Andreas Fibig,521 W 57th St,,New York,International Flavors & Fragrances Inc.,US,,,"NEW YORK STOCK EXCHANGE, INC.",All Other Basic Organic Chemical Manufacturing ,,12127655500,2869,Manufacturing,International Flavors & Fragrances Inc. - Unit (1Prpd Stk Pur contrct ,New York,IFFT,"['Consumer Non-Durables', 'Household/Personal Care', 'Manufacturing', 'All Other Basic Organic Chemical Manufacturing ']",https://www.iff.com/,10019-2929
,,,,BlackRock Institutional Trust Company N.A.,,,,NASDAQ/NMS (GLOBAL MARKET),,et,,,,BlackRock Institutional Trust Company N.A. - BTC iShares International,,IFGL,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,239 54th Ave,,Long Island City,iFresh Inc,US,"iFresh Inc., headquartered in Long Island City, New York, is a leading Asian American grocery supermarket chain and online grocer on the east coast of U.S. With nine retail supermarkets along the US eastern seaboard (with additional stores in Glen Cove, Miami and Connecticut opening soon), and one in-house wholesale business strategically located in cities with a highly concentrated Asian population, iFresh aims to satisfy the increasing demands of Asian Americans (whose purchasing power has been growing rapidly) for fresh and culturally unique produce, seafood and other groceries that are not found in mainstream supermarkets. With an in-house proprietary delivery network, online sales channel and strong relations with farms that produce Chinese specialty vegetables and fruits, iFresh is able to offer fresh, high-quality specialty produce at competitive prices to a growing base of customers.",,NASDAQ CAPITAL MARKET,Supermarkets and Other Grocery (except Convenience) Stores ,cs,16469128918,5411,Retail Trade,iFresh Inc,New York,IFMK,"['Retail Trade', 'Food Retail', 'Supermarkets and Other Grocery (except Convenience) Stores ']",https://www.ifreshmarket.com/en/,11101-5922
,1900 Market Street,Suite 200,Philadelphia,India Fund Inc,US,,,"NEW YORK STOCK EXCHANGE, INC.",,cs,12154055700,,,India Fund Inc,Pennsylvania,IFN,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,19103
,,,,BlackRock Institutional Trust Company N.A.,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,BlackRock Institutional Trust Company N.A. - iShares U.S. Infrastructu,,IFRA,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,Winzerlaer Str. 2,,Jena,InflaRx N.V.,Germany,,,NASDAQ/NMS (GLOBAL MARKET),Pharmaceutical Preparation Manufacturing ,cs,493641508180,2834,Manufacturing,InflaRx N.V.,Thueringen,IFRX,"['Health Technology', 'Biotechnology', 'Manufacturing', 'Pharmaceutical Preparation Manufacturing ']",https://www.inflarx.de/,07745
Luis Felipe Castellanos López Torres,Torre Interbank,Avenida Carlos Villarán 140 Urbanización Santa Catalina,Lima,"Intercorp Financial Services, Inc.",PE,"Intercorp Financial Services, Inc. is a holding company, which engages in the provision of financial services. Through its subsidiaries it operates through the following business segments: Banking, Insurance, and Wealth Management. The Banking segment provides a range of retail banking and commercial banking products, and services to individuals, large companies, and small and medium enterprises. The Insurance segment offers retirement, savings, life, unemployment, and other insurance products mainly to retail customers. The Wealth Management segment comprises wealth management, private banking, financing, brokerage, advisory, and other investment services mainly to high net worth individuals. The company was founded on September 19, 2006 and is headquartered in Lima, Peru.",,New York Stock Exchange,Investment Managers,cs,51.1.615.9011,6099,Finance,Intercorp Financial Services Inc.,Lima,IFS,"['Finance', 'Investment Managers']",http://www.ifs.com.pe,Region
,,,,First Trust Exchange-Traded Fund III,,,,NASDAQ/NMS (GLOBAL MARKET),,et,,,,First Trust Exchange-Traded Fund III - First Trust Dorsey Wright Inter,,IFV,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,Principal Exchange-Traded Funds,,,,NYSE ARCA,,et,,,,Principal Exchange-Traded Funds - Principal Investment Grade Corporate,,IG,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Michael Bell,7337 E Doubletree Ranch Rd Ste 100,,Scottsdale,Voya Global Advantage and Premium Opportunity Fund,US,,,"NEW YORK STOCK EXCHANGE, INC.",,cs,14804773000,,,Voya Global Advantage and Premium Opportunity Fund,Arizona,IGA,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",https://investments.voya.com/investor/products/closed-end-funds/profile/index.htm?p=129,85258-2167
,,,,IG Acquisition Corp,,,,NASDAQ CAPITAL MARKET,,cs,,6770,,IG Acquisition Corp - Class A,,IGAC,"['Finance', 'Financial Conglomerates']",,
,,,,IG Acquisition Corp,,,,NASDAQ CAPITAL MARKET,,,,6770,,IG Acquisition Corp - Units (1 Ord Share Class A & 1/2 War),,IGACU,"['Finance', 'Financial Conglomerates']",,
,,,,IG Acquisition Corp,,,,NASDAQ CAPITAL MARKET,,wt,,6770,,IG Acquisition Corp - Warrants (21/09/2025),,IGACW,"['Finance', 'Financial Conglomerates']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,NYSE ARCA,,et,,,,BlackRock Institutional Trust Company N.A. - iShares Interest Rate Hed,,IGBH,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Ram Mukunda,4336 Montgomery Ave,,Bethesda,India Globalization Capital Inc,US,,,NYSE MKT LLC,Medicinal and Botanical Manufacturing ,cs,13019830998,5065,Manufacturing,India Globalization Capital Inc,Maryland,IGC,"['Biotechnology', 'Health Technology', 'Manufacturing', 'Medicinal and Botanical Manufacturing ']",http://www.igcinc.us,20814-4443
Michael Bell,7337 E Doubletree Ranch Rd Ste 100,,Scottsdale,Voya Global Equity Dividend and Premium Opportunity Fund,US,,,"NEW YORK STOCK EXCHANGE, INC.",,cs,14804772114,,,Voya Global Equity Dividend and Premium Opportunity Fund,Arizona,IGD,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,85258-2167
,,,,BlackRock Institutional Trust Company N.A.,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,BlackRock Institutional Trust Company N.A. - BTC iShares North America,,IGE,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,BlackRock Institutional Trust Company N.A. - iShares Investment Grade ,,IGEB,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,NASDAQ/NMS (GLOBAL MARKET),,et,,,,BlackRock Institutional Trust Company N.A. - BTC iShares Global Infras,,IGF,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,ProShares Trust,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,ProShares Trust - ProShares Investment Grade-Interest Rate Hedged,,IGHG,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Jane Trust,620 8th Ave Fl 49,,New York,Western Asset Investment Grade Defined Opportunity Trust Inc,US,,,"NEW YORK STOCK EXCHANGE, INC.",,cs,18887770102,,,Western Asset Investment Grade Defined Opportunity Trust Inc,New York,IGI,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,10018-1427
,,,,BlackRock Institutional Trust Company N.A.,,,,NASDAQ/NMS (GLOBAL MARKET),,et,,,,BlackRock Institutional Trust Company N.A. - iShares Trust iShares 5-1,,IGIB,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,International General Insurance Holdings Ltd,,,,NASDAQ CAPITAL MARKET,"Other Direct Insurance (except Life, Health, and Medical) Carriers ",cs,,6399,Finance and Insurance,International General Insurance Holdings Ltd,,IGIC,"['Finance', 'Financial Conglomerates', 'Specialty Insurance', 'Finance and Insurance', 'Direct Property and Casualty Insurance Carriers ']",,
,,,,International General Insurance Holdings Ltd,,,,NASDAQ CAPITAL MARKET,"Other Direct Insurance (except Life, Health, and Medical) Carriers ",wt,,6399,Finance and Insurance,International General Insurance Holdings Ltd - Warrants (17/03/2025),,IGICW,"['Finance', 'Financial Conglomerates', 'Specialty Insurance', 'Finance and Insurance', 'Direct Property and Casualty Insurance Carriers ']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,NYSE ARCA,,et,,,,BlackRock Institutional Trust Company N.A. - iShares 10 Year Investmen,,IGLB,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,NYSE ARCA,,et,,,,BlackRock Institutional Trust Company N.A. - iShares Expanded Tech Sec,,IGM,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,325 E Middlefield Rd,,Mountain View,IGM Biosciences Inc,US,,,NASDAQ/NGS (GLOBAL SELECT MARKET),Pharmaceutical Preparation Manufacturing ,cs,16509657873,2834,Manufacturing,IGM Biosciences Inc,California,IGMS,"['Health Technology', 'Biotechnology', 'Pharmaceuticals: Major', 'Manufacturing', 'Pharmaceutical Preparation Manufacturing ']",http://igmbio.com/,94043-4003
,,,,BlackRock Institutional Trust Company N.A.,,,,NYSE ARCA,,et,,,,BlackRock Institutional Trust Company N.A. - iShares North American Te,,IGN,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,Ignyte Acquisition Corp,,,,NASDAQ CAPITAL MARKET,,,,6770,,Ignyte Acquisition Corp - Units (1 Ord & 1/2 War),,IGNYU,[],,
,,,,BlackRock Institutional Trust Company N.A.,,,,NASDAQ/NMS (GLOBAL MARKET),,et,,,,BlackRock Institutional Trust Company N.A. - BTC iShares International,,IGOV,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Thomas Ferguson,201 King of Prussia Rd,,Radnor,CBRE Clarion Global Real Estate Income Fund,US,,,"NEW YORK STOCK EXCHANGE, INC.",,cs,16109952500,,,CBRE Clarion Global Real Estate Income Fund,Pennsylvania,IGR,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",http://www.cbreclarion.com/ourfunds/global-real-estate-income-fund/pages/default.aspx,19087-5147
,,,,BlackRock Institutional Trust Company N.A.,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,BlackRock Institutional Trust Company N.A. - BTC iShares International,,IGRO,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,BlackRock Institutional Trust Company N.A.,,,,NASDAQ/NMS (GLOBAL MARKET),,et,,,,BlackRock Institutional Trust Company N.A. - iShares Trust iShares 1-5,,IGSB,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
Marco Sala,Second Fl,Marble Arch House,66 Seymour Street,International Game Technology PLC,United Kingdom,,,"NEW YORK STOCK EXCHANGE, INC.",Casinos (except Casino Hotels),cs,442075353200,7999,"Arts, Entertainment, and Recreation",International Game Technology PLC,London,IGT,"['Consumer Services', 'Casinos/Gaming', 'Arts, Entertainment, and Recreation', 'Casinos (except Casino Hotels)']",https://www.igt.com/,W1H 5BT
,,,,BlackRock Institutional Trust Company N.A.,,,,CBOE BZX U.S. EQUITIES EXCHANGE,,et,,,,BlackRock Institutional Trust Company N.A. - iShares Expanded Tech-Sof,,IGV,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,iHuman Inc,,,,"NEW YORK STOCK EXCHANGE, INC.",,ad,,8200,,iHuman Inc - ADR,,IH,"['Technology Services', 'Packaged Software']",,
,,,,iShares Trust,,,,NYSE ARCA,,et,,,,iShares Trust - iShares Cybersecurity and Tech ETF,,IHAK,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,
,,,,Independence Holding Co.,,,,"NEW YORK STOCK EXCHANGE, INC.",Direct Life Insurance Carriers ,cs,,6311,Finance and Insurance,Independence Holding Co.,,IHC,"['Finance', 'Life/Health Insurance', 'Finance and Insurance', 'Direct Life Insurance Carriers ']",,
Michael Bell,7337 E Doubletree Ranch Rd Ste 100,,Scottsdale,Voya Emerging Markets High Dividend Equity Fund,US,,,"NEW YORK STOCK EXCHANGE, INC.",,cs,14804773000,,,Voya Emerging Markets High Dividend Equity Fund,Arizona,IHD,"['Miscellaneous', 'Investment Trusts/Mutual Funds']",,85258-2167
